"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/10/2025","8.029,65","8.069,94","8.287,61","7.936,57","442,88B","-0,39%"
"01/09/2025","8.061,06","7.620,10","8.169,02","7.547,56","786,27B","2,94%"
"01/08/2025","7.830,49","7.545,15","8.022,76","7.448,04","660,22B","4,63%"
"01/07/2025","7.484,34","6.954,39","7.680,19","6.838,40","483,18B","8,04%"
"01/06/2025","6.927,68","7.134,49","7.239,96","6.745,15","394,29B","-3,46%"
"01/05/2025","7.175,82","6.811,11","7.240,08","6.765,83","389,15B","6,04%"
"01/04/2025","6.766,79","5.914,29","6.791,25","5.882,60","254,33B","3,93%"
"01/03/2025","6.510,62","6.362,15","6.707,39","5.967,19","284,65B","3,83%"
"01/02/2025","6.270,60","7.087,75","7.125,94","6.246,28","323,87B","-11,80%"
"01/01/2025","7.109,20","7.092,43","7.324,63","6.956,67","301,28B","0,41%"
"01/12/2024","7.079,90","7.117,75","7.530,56","6.931,58","304,11B","-0,48%"
"01/11/2024","7.114,27","7.573,79","7.583,69","7.107,28","404,53B","-6,07%"
"01/10/2024","7.574,02","7.551,46","7.805,92","7.449,48","493,72B","0,61%"
"01/09/2024","7.527,93","7.686,54","7.910,56","7.527,93","402,25B","-1,86%"
"01/08/2024","7.670,73","7.274,52","7.715,76","6.998,81","328,24B","5,72%"
"01/07/2024","7.255,76","7.076,63","7.354,16","7.075,38","333,21B","2,72%"
"01/06/2024","7.063,58","7.030,21","7.149,19","6.698,85","259,73B","1,33%"
"01/05/2024","6.970,74","7.187,41","7.374,55","6.959,23","289,33B","-3,64%"
"01/04/2024","7.234,20","7.286,11","7.298,86","7.021,49","217,92B","-0,75%"
"01/03/2024","7.288,81","7.318,67","7.454,45","7.238,34","268,86B","-0,37%"
"01/02/2024","7.316,11","7.221,85","7.370,88","7.180,36","283,89B","1,50%"
"01/01/2024","7.207,94","7.268,40","7.403,58","7.099,08","333,65B","-0,89%"
"01/12/2023","7.272,80","7.080,06","7.309,78","7.022,77","420,06B","2,71%"
"01/11/2023","7.080,74","6.751,94","7.109,61","6.639,82","390,64B","4,87%"
