"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"30/10/2025","4.790","4.670","4.830","4.650","362,65M","3,01%"
"29/10/2025","4.650","4.500","4.650","4.490","176,98M","3,10%"
"28/10/2025","4.510","4.490","4.510","4.440","174,67M","0,89%"
"27/10/2025","4.470","4.590","4.600","4.410","245,58M","-1,76%"
"24/10/2025","4.550","4.380","4.590","4.380","350,42M","2,71%"
"23/10/2025","4.430","4.310","4.440","4.310","202,10M","2,31%"
"22/10/2025","4.330","4.350","4.460","4.290","216,26M","-0,46%"
"21/10/2025","4.350","4.350","4.390","4.300","230,86M","1,16%"
"20/10/2025","4.300","4.120","4.320","4.070","331,94M","6,17%"
"17/10/2025","4.050","4.110","4.110","4.030","247,51M","-0,98%"
"16/10/2025","4.090","4.050","4.150","4.050","125,98M","0,99%"
"15/10/2025","4.050","4.110","4.140","4.010","270,56M","-0,98%"
"14/10/2025","4.090","4.220","4.270","4.090","188,52M","-3,31%"
"13/10/2025","4.230","4.210","4.240","4.200","79,18M","-0,47%"
"10/10/2025","4.250","4.410","4.420","4.250","139,91M","-3,19%"
"09/10/2025","4.390","4.240","4.450","4.200","183,24M","3,29%"
"08/10/2025","4.250","4.280","4.290","4.210","97,47M","-0,93%"
"07/10/2025","4.290","4.260","4.320","4.250","100,24M","0,70%"
"06/10/2025","4.260","4.320","4.330","4.260","96,04M","-1,16%"
"03/10/2025","4.310","4.370","4.380","4.300","102,46M","-1,15%"
"02/10/2025","4.360","4.410","4.440","4.360","93,39M","-0,46%"
"01/10/2025","4.380","4.360","4.400","4.350","92,27M","-0,45%"
"30/09/2025","4.400","4.420","4.450","4.380","108,64M","0,00%"
"29/09/2025","4.400","4.420","4.430","4.400","63,75M","-0,45%"
"26/09/2025","4.420","4.350","4.430","4.350","86,57M","1,38%"
"25/09/2025","4.360","4.400","4.410","4.360","73,95M","-0,68%"
"24/09/2025","4.390","4.410","4.430","4.390","85,44M","-0,45%"
"23/09/2025","4.410","4.390","4.430","4.370","90,68M","-0,23%"
"22/09/2025","4.420","4.410","4.420","4.360","107,18M","0,91%"
"19/09/2025","4.380","4.350","4.420","4.330","235,98M","-0,90%"
"18/09/2025","4.420","4.540","4.550","4.420","177,56M","-2,00%"
"17/09/2025","4.510","4.480","4.520","4.440","232,70M","0,67%"
"16/09/2025","4.480","4.570","4.570","4.460","122,03M","-1,10%"
"15/09/2025","4.530","4.550","4.640","4.520","231,35M","0,22%"
"12/09/2025","4.520","4.500","4.550","4.480","216,96M","0,89%"
"11/09/2025","4.480","4.480","4.540","4.450","366,70M","1,82%"
"10/09/2025","4.400","4.360","4.420","4.350","293,49M","2,09%"
"09/09/2025","4.310","4.450","4.480","4.310","509,37M","-4,01%"
